Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
421,3507,3702,4028,4371,4565
422,3056,3533,3694,4096,4175
423,3481,3638,4042,4458,4540
424,3747,3767,4184,4766,4722
425,3001,3038,3360,3707,3781
426,2678,3593,3832,4041,4195
427,3198,3941,4188,4356,4705
428,3363,3441,3695,3980,4109
429,3200,3151,3607,3974,3858
430,2955,3255,3335,3524,3742
431,2725,3101,3443,3752,3771
432,3568,3774,4037,4379,4364
433,3228,3023,3578,3840,3954
434,3026,3378,3664,3886,4030
435,3554,3655,4119,4313,4341
436,3512,3336,3797,4055,4063
437,3314,3968,4348,4564,4703
438,3899,3884,4260,4575,4620
439,2998,3076,3465,3603,3812
440,3277,3243,3594,3831,3970
441,3747,3891,4401,4624,4607
442,3171,3982,4284,4585,4710
443,3096,3172,3583,3766,3966
444,3147,3190,3568,3911,3921
445,3226,3254,3684,3955,4150
446,3348,3526,3960,4109,4245
447,3490,3287,3884,4180,4101
448,2900,3159,3732,3780,3855
449,2950,2815,3368,3687,3709
450,3114,3031,3546,3855,3863
451,2829,3019,3350,3565,3681
452,3390,3197,3849,4199,4204
453,3290,3767,4032,4304,4187
454,3392,3442,3907,3999,4007
455,3056,3117,3602,3722,3754
456,3060,2864,3413,3583,3489
457,3183,3313,3777,4027,3962
458,3129,2894,3548,3776,3658
459,3256,3340,3982,4171,4033
460,2833,3189,3595,3785,3833
461,3308,3347,3670,4042,3942
462,3438,3278,3849,4139,4151
463,3182,3019,3642,3877,3970
464,3044,2963,3548,3698,3792
465,2974,3128,3629,3836,3896
466,3227,3429,3783,3849,4161
467,2998,2710,3318,3617,3686
468,3343,3417,3945,4199,4174
469,3334,3178,3676,3940,3958
470,3184,3254,3716,3897,4120
471,3006,2808,3450,3637,3777
472,3415,3391,3844,3952,4179
473,3275,3125,3826,4095,4164
474,2964,2886,3387,3570,3675
475,3652,4173,4619,4677,4849
476,3290,3607,3916,4057,4377
477,3405,3461,3774,4181,4307
478,3314,3183,3872,4242,4291
479,3350,3389,3890,4072,4275
480,2891,3223,3749,3782,4054
481,2983,3971,4388,4396,4678
482,3277,3181,3307,3449,3824
483,3042,3024,3375,3704,3856
484,3060,3624,3929,4199,4455
485,3324,3909,3995,4268,4460
486,3386,3428,3829,4190,4321
487,3429,3493,4082,4529,4589
488,2997,3077,3640,3966,3999
489,3313,3525,3996,4297,4195
490,3095,3177,3650,3867,3995
491,3354,3235,3931,4144,4245
492,3467,3399,4004,4129,4266
493,2639,2924,3272,3280,3375
494,2889,3293,3739,3945,3973
495,2869,3203,3404,3557,3619
496,2888,3011,3368,3602,3767
497,3153,2869,3380,3640,3763
498,2997,2992,3499,3864,3802
499,3084,3275,3552,3597,3638
500,2931,2919,3489,3639,3583
501,3544,3403,4007,4230,4054
502,2934,3203,3643,3737,3665
503,3078,3263,3673,3701,3777
504,3506,3544,3973,4145,4067
505,3434,3848,4154,4296,4330
506,3391,3444,3918,4036,4123
507,3198,3404,3816,4012,3968
508,4035,4654,5164,5363,5273
509,3535,3583,4049,4443,4228
510,3052,2823,3340,3611,3582
511,3339,3281,3640,4005,3820
512,3326,3252,3755,3938,3891
513,3453,3507,4000,4386,3968
514,3225,3304,3742,3963,3763
515,3092,3195,3503,3856,3567
516,3303,3377,3752,3909,3685
517,3417,3381,3842,4046,3818
518,3040,2885,3477,3713,3318
519,3050,2954,3477,3632,3288
520,3112,3156,3617,3692,3483
521,3615,3535,3984,4181,3929
522,3316,3475,4201,4423,4136
523,3173,3150,3563,3719,3553
524,3189,3261,3776,4089,3823
525,3087,3504,3880,4082,4008
526,2953,2824,3266,3422,3356
527,3373,3199,3686,3902,3747
528,3148,3285,3701,3958,3747
529,3297,3465,3943,3977,3986
530,3034,3381,3892,4009,3867
531,2873,3056,3669,3800,3632
532,2669,2766,3233,3482,3318
533,2440,2929,3254,3454,3241
534,3108,3421,3812,4141,3888
535,2816,3125,3395,3838,3576
536,3186,3015,3507,3784,3635
537,2892,3080,3533,3592,3417
538,3143,3421,3866,3994,3929
539,2835,2781,3340,3578,3406
540,2773,2761,3365,3518,3482
541,2888,2778,3318,3505,3354
542,3132,3183,3664,3847,3742
543,2999,3295,3844,4034,3945
544,3287,3399,4042,4357,4152
545,3389,3237,3940,4261,4206
546,3297,3609,4035,4208,4174
547,3171,3344,3714,3891,3924
548,3477,3459,3955,4301,4234
549,2872,3146,3632,4121,3883
550,3235,3196,3542,3682,3720
551,2988,2947,3419,3644,3556
552,3199,3288,3802,4008,3862
553,3111,3161,3651,3851,3831
554,2779,3172,3540,3719,3654
555,3285,3182,3630,3931,3910
556,3579,3720,4116,4393,4426
557,3173,3134,3657,3936,3918
558,2932,3069,3624,3718,3918
559,3062,3816,4073,4177,4258
560,3216,3426,4013,4276,4213
561,2923,3028,3399,3616,3607
562,3396,3326,3834,4005,4159
563,3270,3494,3907,4153,4206
564,3240,3305,3754,3963,4019
565,3277,2979,3593,3709,3689
566,3508,8137,7999,8053,8306
567,3502,3765,3733,3880,3928
568,3244,2877,2975,3578,3441
569,3669,3680,3751,4338,4304
570,3638,3429,3567,4197,4214
571,3046,3098,3512,3892,3877
572,3446,3306,3724,4026,4162
573,2936,3052,3442,3619,3766
574,2855,2916,3392,3610,3576
575,2648,2942,3323,3448,3440
576,3076,2895,3391,3578,3627
577,3342,3386,3904,4206,4046
578,3318,3055,3747,4069,3829
579,3186,3589,4130,4281,4125
580,3466,3793,4142,4420,4338
581,3101,2972,3467,3579,3587
582,3145,3200,3740,3888,3917
583,3223,3106,3546,3778,3728
584,3126,2838,3479,3725,3645
585,2860,2797,3436,3542,3552
586,3002,3056,3586,3714,3828
587,3751,3621,4157,4360,4487
588,3040,3233,3746,3984,3887
589,3344,3333,3731,3979,4050
590,3225,3097,3706,3920,3923
